"lang"
{
    "Language"  "English"
        "vinny.jerma_saw_failed_attempts" "<clr:155,44,13>Hello again. It's me:<cr>Jigsaw,<cr>and I...<sb>Fuckin' try it again.<sb>You shitty pers- Eh.. <sb>Hello again.<cr>It's time for you to <I><B>die!<B><I>.<sb>Below you.<cr>Are twenty five spikes.<cr>Every minute you will inch closer to those spikes.<cr>And you will be <I>eaten<I> <B>alive<B> by the distructive,<cr>painful power of each small pin point-<cr>Auh.. Small pin-prick.<sb>You will not survive after thirty seconds.<sb>Biff..<sb>Ouhh fucking god <B>damn it<B> that was the one too!<sb>That was the one!<sb><I>That<I> was the fucki.."
        "vinny.jerma_saw_friend_tied_up" "<clr:155,44,13>And by the way uh your friend is like tied with like a knife on his neck in the next room.<sb>Make your choice y'know what I'm saying?"
        "vinny.jerma_saw_get_out_of_room" "<clr:155,44,13>Yes don't go in that room, don't go in that room, get out of that room.<cr>Get outta that- Get outta that one.<cr>Get out of it. Get out don't go in there."
        "vinny.jerma_saw_giberish" "<clr:155,44,13>Bibibibibbibebshbisshibibibebibebe."
        "vinny.jerma_saw_giberish_reverb" "<clr:155,44,13>Bibibibibbibebshbisshibibibebibebe."
        "vinny.jerma_saw_glow_in_dark" "<clr:155,44,13>Oh shit!<cr>I.. uh.<sb>Sorry th- the Nickelodeon glow in the dark,<cr>uh pen was only supposed to show up..<cr>Ah fuck.<sb>It's 5 7 3 jus- just fuck off go to the next room ok."
        "vinny.jerma_saw_glow_in_dark_reverb" "<clr:155,44,13>Oh shit!<cr>I.. uh.<sb>Sorry th- the Nickelodeon glow in the dark,<cr>uh pen was only supposed to show up..<cr>Ah fuck.<sb>It's 5 7 3 jus- just fuck off go to the next room ok."
        "vinny.jerma_saw_good_at_making_games" "<delay:5><clr:155,44,13>I'm so good at making games."
        "vinny.jerma_saw_good_at_making_games_reverb" "<delay:5><clr:155,44,13>I'm so good at making games."
        "vinny.jerma_saw_gun_shoot_guy" "<delay:3><clr:155,44,13>There's a gun behind you.<cr>Use it to shoot the guy in the next room.<sb>Okay.<cr>Bye."
        "vinny.jerma_saw_its_me_saw" "<clr:155,44,13>It's me.<delay:2>It's me Saw!"
        "vinny.jerma_saw_let_me_stop_you" "<clr:155,44,13>Let me just stop you right there."
        "vinny.jerma_saw_macular_degeneration" "<clr:155,44,13>Inside of your right eye<delay:2>You have,<cr>a little bit of macular degeneration.<sb>When I was putting that shit in your eye.<cr>I noticed.<sb>You're probably gonna have to go on some CBD.<cr>It might help!<sb>Alright now go to the next room and<cr>fuck off."
        "vinny.jerma_saw_made_your_choice" "<clr:155,44,13>You've made your choice I guess."
        "vinny.jerma_saw_made_your_choice_reverb" "<clr:155,44,13>You've made your choice I guess."
        "vinny.jerma_saw_no" "<clr:155,44,13>No!"
        "vinny.jerma_saw_photo_of_me" "<clr:155,44,13>That's a photo of me.<delay:1>Or some.. No. I mean.. It's a photo of some guy.<cr>I just find him very very handsome and very smart.<sb>Incredibly talented.<sb>Don't know who that is."
        "vinny.jerma_saw_snowman" "<clr:155,44,13>You've been putting forth a façade<cr>for far too long.<sb>For years you've been pretending that Santa comes down through the chimney.<sb>You're a liar.<sb>You put out cookies.<cr>and carrots.<cr>And pretend that the reindeer were eating them.<delay:1>Far too long have you lied.<sb>Now it's time to pay<cr>the price.<delay:2>Before you is a snowman.<sb>And a carrot.<sb>Make your choice.<sb>Will you put the carrot on his dick? And be- Heh- be pretty funny.<sb>Or...<sb>Will you disarm the bomb, and put it on his nose.<cr>Where it belongs.<delay:2>Make your choice."
        "vinny.jerma_saw_sudoku" "<clr:155,44,13>Hello.<sb>How are you?<sb>Are you ready..<cr>to be bomdarded..<cr>with fuckin' sudoku puzzles?<sb>'Cause that's what's gonna happen."
        "vinny.jerma_saw_this_guys_mad" "<clr:155,44,13>Hey- he's mad. Hey- This guys mad. Hahaha. He's p- he's pissed off good."
        "vinny.jerma_saw_too_many_sweets" "<clr:155,44,13>You ate far too many sweets.<cr>Last night."
        "vinny.jerma_saw_too_many_sweets_reverb" "<clr:155,44,13>You ate far too many sweets.<cr>Last night."
        "vinny.jerma_saw_use_pair_of_hands" "<clr:155,44,13>I could use a pair of hands.<sb>Someone to unload and load up the dock,<cr>when get all the- all the metal and, and and wood and shit."
        "vinny.jerma_saw_use_pair_of_hands_reverb" "<clr:155,44,13>I could use a pair of hands.<sb>Someone to unload and load up the dock,<cr>when get all the- all the metal and, and and wood and shit."
        "vinny.jerma_saw_yes" "<clr:155,44,13>Yes."
        "vinny.jerma_saw_welcomemurder" "<clr:155,44,13>Welcome back to: <I>I murder you.<I>"
        "vinny.jerma_saw_welcomemurder_reverb" "<clr:155,44,13>Welcome back to: <I>I murder you.<I>"
        "vinny.jerma_saw_reallydisgusting" "<clr:155,44,13>That's pretty ups- That's really disgusting and fucked up.<sb>That's what I do,<cr>that's what I do.<cr>I do disgusting fucked up things."

        // Misc
        "vinny.meat_thrown_food" "<sfx>[Goal celebration!]"
        "vinny.gnome_vox" "<sfx>[Gnome sounds]"
        "vinny.tree_fall" "<sfx><delay:1>[Tree falling]"
        "vinny.lightning_strike" "<sfx><delay:2>[Lightning]"
        "vinny.clown_laugh" ""
        "vinny.evil_laugh" ""
        "vinny.heartbeat" ""
        "vinny.wood_chop" ""
        "vinny.scientist_vox" "<sfx>[Scientist sounds]"
        "vinny.christmas_special" ""
        "vinny.light_on_echo" "<sfx>[Light turns on]"
        "vinny.player_captured" "<sfx><delay:3>[Sounds of Vinny being beaten up]"
        "vinny.tv_turn_on" ""
        "vinny.tv_turn_off" ""
        "vinny.tv_hum_loop" ""
        "vinny.rocket" "<sfx><norepeat:15>[Rocket launches]"
        "vinny.holy_choir" ""
        "vinny.rat_squeal" "<sfx>[Giant flushed rat squeals]"
        "vinny.snark.deploy" "<sfx>[Snark gets excited]"
        "vinny.snark.hunt" "<sfx><norepeat:20>[Snark gets too excited]"
        "vinny.snark.blast" "<sfx>[Snark explodes from excitement]"
        "vinny.wall_grind_lp" ""
        "vinny.multi_test" ""
        "vinny.dirt_dig" ""
        "vinny.christmas_toy_die" "<sfx>[Christmas toy dies]"
        "vinny.screee" ""
        "vinny.screee_end" ""
        "vinny.screee2" ""
        "vinny.screee_hitch" ""
        "vinny.higgs_breath" ""
        "vinny.spoopy_skeleton" "<sfx>[♫ ♪ ♫ ♪]"
        "vinny.nedry_ah_ah_ah" "<sfx><clr:35,35,35>Ah ah ah.."
        "vinny.reviver_run_loop" ""
        "vinny.music.roll_up" ""
        "vinny.music.roll_up_wind_down" ""
        "vinny.music.morning_magic" ""
        "vinny.music.deck_the_halls" ""
        "vinny.null" ""
        "vinny.vortigese09" "<clr:107,232,120>Guh lah long."
        "vinny.scribble" ""
        "vinny.speen" "<clr:14,104,89>Speeen."
        "vinny.hohoho_04" "<clr:219,0,0>Ho ho h..."
        "vinny.hohoho_ominous"  "<sfx><clr:219,0,0>Ho ho hoo, hoo ho ho hoo, ho ho ho."
        "vinny.merry_christmas_santa" "<delay:3><clr:219,0,0>Merry Christmas."
        "vinny.milk_pour" ""
        "vinny.car_engine" ""
        "vinny.flesh_burn" "<sfx>[norepeat:30][Vinny putting his hand in the fire like an idiot]"
        "vinny.cat_meow" "<sfx>[Meow]"
        "vinny.timer_tick_loop" ""
        "vinny.tv_static" ""
        "vinny.jerma_rats" "Rats.<cr>We're rats.<cr>We're the rats.<cr>We pray at night we stalk at night,<cr>we're the rats.<sb>I'm the giant rat that makes all of the rules.<sb>Let's see what kind of trouble we can get ourselves into."

    }
}
